latitud,longitud,price,beds
45.4418493,-73.8942956,1349000,4
45.4418849,-73.6750572,565000,2
45.4419696,-73.8717665,725000,4
45.4420213,-73.695554,199000,11
45.4420872,-73.8138253,649000,4
45.4421009,-73.6730272,224900,2
45.4422726,-73.6747481,199900,3
45.4425464,-73.9012619,839000,4
45.442558,-73.8049741,649000,3
45.4426247,-73.6951172,349000,3
45.4426531,-73.6704557,429900,2
45.4426864,-73.95835,395000,2
45.4429471,-73.6647676,244940,1
45.4429471,-73.6647676,241108,1
45.4429471,-73.6647676,224145,1
45.4429471,-73.6647676,208266,1
45.4434054,-73.6767797,619000,3
45.4434402,-73.6533001,535000,2
45.4434436,-73.8067943,769000,12
45.4435573,-73.6467899,699000,2
45.4435573,-73.6467899,548000,2
45.4435592,-73.7755447,1890000,4
45.4436885,-73.7621598,838000,5
45.4439016,-73.6511084,539000,12
45.4439546,-73.7246642,485543,3
45.4439917,-73.6710352,539900,3
45.4441634,-73.8197239,599000,3
45.4441666,-73.7446769,550000,3
45.4442808,-73.7644643,819000,4
45.4444685,-73.8057248,1849500,4
45.444492,-73.6531961,435000,2
45.4444965,-73.8992593,1188000,5
45.4446793,-73.6857479,429000,3
45.4446961,-73.8826016,1369000,3
45.444772,-73.6902245,699000,3
45.4450496,-73.6746606,669000,2
45.4451016,-73.7320043,509000,4
45.4453691,-73.6538304,629000,2
45.4454026,-73.6095249,260000,1
45.4454069,-73.6455246,299900,3
45.4454501,-73.690549,438000,2
45.4456087,-73.8637788,645000,4
45.4456948,-73.7262015,339000,2
45.445698,-73.8354276,650000,3
45.4457248,-73.6114221,579000,3
45.4457664,-73.6740495,1250000,4
45.4458379,-73.6992743,798000,3
45.4460072,-73.8549657,329900,2
45.4461221,-73.7362263,1398800,3
45.4462409,-73.7258716,625000,3
45.4462809,-73.5896473,974124,4
45.4463344,-73.7113648,839000,3
45.4464392,-73.7211871,589000,3
45.4466294,-73.8996465,1850000,6
45.4466385,-73.6702418,425000,12
45.4467043,-73.7316968,569000,1
45.4471235,-73.6087213,408888,2
45.4471765,-73.6863752,435000,3
45.4472466,-73.5579247,1509000,4
45.4473728,-73.6092664,499000,3
45.4473728,-73.6092664,439000,1
45.4474332,-73.6419681,1180000,5
45.4474488,-73.5591053,1675000,2
45.4474488,-73.5591053,1625000,3
45.4474488,-73.5591053,960000,3
45.4474488,-73.5591053,868000,2
45.4474488,-73.5591053,780000,12
45.4474488,-73.5591053,679000,12
45.4474488,-73.5591053,569000,2
45.447496,-73.6012199,620000,1
45.4475029,-73.5599178,1460000,4
45.4475985,-73.8553635,365000,4
45.4476936,-73.5556823,918888,2
45.4476936,-73.5556823,740000,2
45.4476936,-73.5556823,619000,2
45.4476936,-73.5556823,568000,2
45.4478117,-73.8621381,2688000,3
45.44786,-73.7358685,499000,2
45.44786,-73.7358685,230000,1
45.4480311,-73.8485789,638000,4
45.4480365,-73.5582258,1159000,3
45.4480868,-73.8390625,545000,3
45.448134,-73.7784192,409000,2
45.4481865,-73.7247152,215000,1
45.4481889,-73.7753272,824500,12
45.4482035,-73.7729586,495000,4
45.4482094,-73.5565981,1198000,3
45.4483705,-73.7689524,498000,3
45.4484866,-73.6078032,285000,2
45.4485276,-73.5567085,659000,3
45.4485596,-73.6521875,399900,2
45.4485596,-73.6521875,369900,2
45.4486925,-73.6071155,499096,2
45.4486925,-73.6071155,415000,2
45.448722,-73.8878963,629000,3
45.4487991,-73.5521927,974000,2
45.4487991,-73.5521927,938000,3
45.4487991,-73.5521927,850000,11
45.4487991,-73.5521927,735000,2
45.4487991,-73.5521927,629000,2
45.4488889,-73.8744871,699000,12
45.4489033,-73.5987489,579000,4
45.4494003,-73.6456131,1395000,5
45.4498484,-73.9370161,1975000,5
45.4499714,-73.8324194,699900,4
45.4501018,-73.8902517,598000,4
45.4501098,-73.5985621,899000,6
45.4501238,-73.5706565,699000,2
45.4501438,-73.5491503,451500,1
45.4501438,-73.5491503,439000,1
45.4501438,-73.5491503,424000,1
45.4502688,-73.606262,499430,3
45.4502688,-73.606262,498384,4
45.4502688,-73.606262,375000,1
45.4502688,-73.606262,295000,1
45.4503219,-73.7639838,274900,1
45.4503643,-73.7793893,365000,4
45.4504759,-73.5488609,849000,2
45.4504759,-73.5488609,499000,1
45.4506856,-73.8843728,1178000,5
45.4507952,-73.5487749,1299000,4
45.4507952,-73.5487749,699000,2
45.4507952,-73.5487749,699000,2
45.4509685,-73.6367235,390000,2
45.4510231,-73.6412332,1500000,4
45.451166,-73.5840986,928600,3
45.4511752,-73.5682444,1200000,4
45.4512195,-73.5521686,3750000,4
45.4515889,-73.8220391,599000,3
45.4517339,-73.5781654,398000,5
45.4519395,-73.8872354,549000,3
45.4519703,-73.5490049,1038888,4
45.4523059,-73.5479514,539000,2
45.4523869,-73.5709185,688000,2
45.4527095,-73.5748312,419000,1
45.4530456,-73.5827323,359000,4
45.4530542,-73.5767262,729000,4
45.4531616,-73.5997066,599000,2
45.4531975,-73.8648941,699000,5
45.4535092,-73.8813685,668000,5
45.4535888,-73.6003482,569900,2
45.4540466,-73.8229151,499000,4
45.4540774,-73.7919352,545000,3
45.4541443,-73.652701,995000,4
45.4542961,-73.7827853,650000,4
45.4544357,-73.6015828,539900,1
45.4548196,-73.8826605,574000,4
45.45492,-73.7656048,369000,5
45.4549371,-73.8643788,469000,4
45.4550705,-73.7787402,415000,3
45.4550946,-73.8099001,849000,4
45.4553786,-73.5693988,899000,6
45.4555521,-73.5732948,359000,2
45.4557116,-73.5502069,1380000,4
45.4557299,-73.5733005,379000,2
45.4558908,-73.6409519,1390000,5
45.4559716,-73.6637552,1175000,5
45.4560628,-73.5720879,899000,4
45.4561384,-73.6477421,855000,3
45.4562266,-73.5883956,899000,3
45.456251,-73.6402998,499000,6
45.4563109,-73.8284139,629900,4
45.4564187,-73.585343,579000,3
45.4565427,-73.8286493,619000,3
45.4567672,-73.8595286,900000,5
45.4568131,-73.6499932,192000,1
45.4568409,-73.8554114,1298000,5
45.4569493,-73.5763562,449900,3
45.4570742,-73.7831234,575000,4
45.4571771,-73.8556173,1297900,5
45.4572182,-73.7981387,518000,5
45.4573452,-73.8557202,1289000,6
45.45763,-73.5676049,799000,2
45.457648,-73.6516172,889000,3
45.457835,-73.8611359,1098000,4
45.4579883,-73.8014777,1270000,12
45.458006,-73.5728421,349000,2
45.4580397,-73.801375,1290000,12
45.4581087,-73.6764862,659000,3
45.4581261,-73.8764217,275000,4
45.45822,-73.5736449,630000,4
45.4582537,-73.8508833,1398800,5
45.4583297,-73.9065177,1454000,5
45.4583778,-73.6710273,629000,4
45.4583871,-73.5960992,479000,3
45.4584034,-73.7986116,850000,5
45.4586119,-73.5735226,199000,3
45.4588861,-73.5427104,465000,2
45.459002,-73.6490863,189000,1
45.4590274,-73.5985619,784500,3
45.4590419,-73.5551644,499000,1
45.4592607,-73.8502806,1100000,2
45.4594803,-73.544216,479000,3
45.4595673,-73.6764336,579000,3
45.4598879,-73.5617662,549000,2
45.4599412,-73.8725986,389000,3
45.4600737,-73.6772184,679000,5
45.4601957,-73.7998811,479000,1
45.4602296,-73.6543497,462200,3
45.4602296,-73.6543497,337600,2
45.4602602,-73.8658296,1071343,4
45.4602799,-73.5928147,919000,1
45.4603145,-73.6728009,888000,5
45.4605231,-73.5790265,350000,1
45.4605231,-73.5790265,300000,1
45.4606313,-73.5820622,849000,3
45.4606403,-73.8558978,1299000,5
45.4607494,-73.8174236,319900,3
45.4608075,-73.8531921,1395000,4
45.4608427,-73.6694739,999000,4
45.4609635,-73.5976626,529000,3
45.4609834,-73.5944268,644000,2
45.4610196,-73.5978292,829000,3
45.4612063,-73.5715094,474016,2
45.4612133,-73.6648427,649000,4
45.4613634,-73.6694505,799000,4
45.4614248,-73.5944294,1448000,4
45.461426,-73.5944581,749000,3
45.4614868,-73.5755562,329000,1
45.4615735,-73.5937711,585000,3
45.4616316,-73.6646229,579000,3
45.4617456,-73.553284,649000,3
45.4617601,-73.5425739,339000,1
45.4618314,-73.5923576,580000,2
45.4619249,-73.5501576,425000,2
45.4619303,-73.5417279,768000,4
45.4619902,-73.7955753,749000,4
45.46202,-73.7301927,735000,4
45.4620661,-73.5950048,499000,4
45.4621438,-73.6410572,790000,3
45.4621734,-73.8534334,1149000,5
45.4622906,-73.5965456,339000,2
45.4622906,-73.5965456,294000,1
45.4622906,-73.5965456,228000,3
45.4622924,-73.5406978,658000,3
45.4625466,-73.893746,499950,4
45.4625822,-73.5514061,445000,2
45.4626077,-73.5507099,358000,1
45.4628344,-73.6381346,875000,5
45.4628856,-73.8975103,399000,2
45.4629063,-73.5498139,389000,1
45.4631692,-73.674222,799000,3
45.4631957,-73.6705248,649000,3
45.4634825,-73.637422,1588000,5
45.4636664,-73.8827793,299900,3
45.4637272,-73.7940067,799000,4
45.4637803,-73.6312129,398000,3
45.4638525,-73.5507639,380000,2
45.46391,-73.6738157,928000,3
45.4639312,-73.8633459,525000,3
45.4639487,-73.5412082,555000,2
45.4639611,-73.8947152,389000,5
45.4640335,-73.8943989,875000,7
45.4640561,-73.5539565,838000,2
45.4642422,-73.5815029,399000,2
45.464257,-73.7939047,799000,5
45.4644126,-73.6700254,699000,4
45.4645346,-73.6606534,799000,5
45.4646256,-73.621514,424000,3
45.4646363,-73.5490141,948000,2
45.4646637,-73.5754249,1199000,1
45.464675,-73.8096953,290000,1
45.4647812,-73.6243651,629000,3
45.4648575,-73.6250052,397500,3
45.4650143,-73.5533309,479000,2
45.4650233,-73.6173293,625000,3
45.465031,-73.6321455,219000,4
45.4650603,-73.6225062,479000,3
45.4651244,-73.538958,489000,1
45.4654006,-73.6471535,995000,5
45.4655282,-73.5386708,399000,2
45.4656322,-73.5409382,549000,3
45.4656358,-73.5482827,1299000,3
45.4656603,-73.8089055,290000,1
45.4657587,-73.6265797,1235000,12
45.4658757,-73.6412301,925000,2
45.4659856,-73.8865926,769000,12
45.465994,-73.5522309,399000,1
45.4660327,-73.6701306,838000,3
45.4660543,-73.6589133,899900,1
45.4660725,-73.5484866,1698000,3
45.4664047,-73.6657178,724000,5
45.4664797,-73.6528342,449900,2
45.4665517,-73.8837626,379000,3
45.4667857,-73.6596508,888000,4
45.4667916,-73.8885367,429000,2
45.4669795,-73.6274226,289000,1
45.4669893,-73.6637572,889000,3
45.4670114,-73.8411961,699000,5
45.4673435,-73.6433109,285000,2
45.4673435,-73.6433109,220000,2
45.4673435,-73.6433109,214000,1
45.4673634,-73.6533207,750000,4
45.467387,-73.8016174,400000,2
45.4675611,-73.5634315,1395000,4
45.4676349,-73.610125,799000,4
45.4676375,-73.5480911,749000,3
45.4676375,-73.5480911,495000,2
45.4676375,-73.5480911,399900,1
45.4676537,-73.6238252,960000,4
45.4677177,-73.8845701,399900,4
45.4677232,-73.5675431,349000,2
45.4678234,-73.5718559,329000,2
45.4678343,-73.8550258,735000,4
45.4679104,-73.8897495,418000,12
45.4679917,-73.8003189,459000,3
45.4681201,-73.6105109,519000,2
45.4681721,-73.5947743,889000,3
45.4685312,-73.6122027,299000,2
45.4687419,-73.8270649,718000,3
45.4688392,-73.87354,459000,3
45.4689436,-73.8812464,515000,3
45.4689972,-73.8855691,419900,4
45.4691439,-73.5709154,259000,1
45.4694004,-73.6122452,410000,2
45.4696388,-73.6145799,719000,3
45.4697155,-73.5920488,728000,1
45.4697958,-73.6277893,1110000,4
45.4701718,-73.8498613,599000,4
45.4701888,-73.6218448,1455000,4
45.4703129,-73.5866906,518000,1
45.470516,-73.5667723,339000,2
45.4705279,-73.571813,769000,3
45.470746,-73.8667254,898000,4
45.4711371,-73.8412543,629000,4
45.4712184,-73.655481,925000,11
45.4716659,-73.8464479,619000,5
45.4716835,-73.8735485,310000,1
45.4716976,-73.8776378,749000,3
45.4717895,-73.6143685,1249000,4
45.471792,-73.60875,355000,4
45.472073,-73.8733858,309000,4
45.4721378,-73.8687162,568000,2
45.4723037,-73.6334236,825000,3
45.4723261,-73.8476179,719000,3
45.4723707,-73.5710314,449000,1
45.4724733,-73.6654828,425000,3
45.4726669,-73.8924444,529000,3
45.4726857,-73.6628108,1788000,5
45.4731145,-73.538668,1275000,5
45.4731205,-73.6264217,695000,3
45.4732432,-73.8748259,359000,4
45.4732598,-73.5386374,1998000,2
45.4732598,-73.5386374,968000,3
45.4732598,-73.5386374,699000,2
45.4732598,-73.5386374,630000,2
45.4732598,-73.5386374,599000,2
45.47331,-73.6637081,1450000,2
45.4733981,-73.8703775,499000,3
45.4736522,-73.5821022,579000,2
45.473656,-73.9264292,1199900,4
45.4738044,-73.8743052,299000,2
45.4738427,-73.6239574,599000,1
45.4739229,-73.6627942,1349000,5
45.4739355,-73.6590973,550000,5
45.4739355,-73.6590973,410000,1
45.4739881,-73.5695802,357000,2
45.4739921,-73.6136384,1448000,6
45.4739996,-73.8377383,669000,5
45.4741985,-73.8535491,498000,3
45.4742185,-73.8531815,479000,5
45.474227,-73.6616226,689000,2
45.474227,-73.6616226,499000,3
45.474227,-73.6616226,419000,2
45.4742345,-73.824682,469000,3
45.4743304,-73.8629223,469000,4
45.4743444,-73.6113628,369000,3
45.4743742,-73.6614289,629000,3
45.4745423,-73.8945528,299900,2
45.4745477,-73.6057864,749000,3
45.4746011,-73.625636,669000,3
45.4747795,-73.562901,1228000,4
45.4748306,-73.8576953,382500,3
45.4748642,-73.8715549,399000,3
45.4748691,-73.6589021,274900,2
45.4748691,-73.6589021,179900,2
45.4749542,-73.8266584,650000,4
45.4751525,-73.5857353,1375000,3
45.4753143,-73.6600368,372000,3
45.4756349,-73.8527519,540000,4
45.4756964,-73.6374277,1325000,5
45.4756964,-73.6374277,880000,5
45.4756964,-73.6374277,419000,1
45.4756964,-73.6374277,419000,2
45.4757041,-73.6074543,319000,1
45.4758534,-73.6587587,469000,3
45.4760765,-73.8251232,519000,3
45.4760787,-73.6201336,245000,1
45.4761992,-73.8710167,697000,3
45.47628,-73.5592345,1799888,2
45.4763449,-73.6332687,599000,3
45.4764118,-73.6017587,999000,4
45.4764864,-73.6574205,550000,4
45.4764994,-73.6716715,459900,2
45.4765557,-73.5884926,499900,2
45.4765884,-73.5876561,289000,2
45.4766634,-73.6606302,445000,12
45.4766755,-73.5878496,276000,1
45.4768221,-73.6430038,1589000,4
45.4768857,-73.6073717,1410000,3
45.4768999,-73.6008747,1996000,2
45.4768999,-73.6008747,1676625,3
45.4768999,-73.6008747,1099000,2
45.4768999,-73.6008747,999000,3
45.4770255,-73.6098305,1650000,3
45.477061,-73.6010134,1700000,4
45.477082,-73.8717902,419000,3
45.4771382,-73.6444275,1980000,1
45.4772555,-73.922464,5250000,6
45.4772621,-73.8718127,599000,1
45.477442,-73.5638463,239900,1
45.4774643,-73.5792073,1087192,4
45.4774643,-73.5792073,534898,2
45.477543,-73.6270828,1330000,2
45.4775767,-73.6671519,549000,3
45.4776118,-73.5856707,3400000,5
45.477613,-73.856037,389000,3
45.4777315,-73.6624212,1260000,4
45.4777843,-73.6115058,1599000,5
45.4778211,-73.6413741,1599000,3
45.4778794,-73.6240994,679000,3
45.477892,-73.6583242,489000,2
45.4778924,-73.926534,55000,2
45.4779423,-73.5890102,1295000,1
45.4780107,-73.6668151,460000,1
45.4780107,-73.6668151,419000,2
45.4780107,-73.6668151,328000,2
45.4780517,-73.6183428,575000,4
45.478072,-73.6668393,729000,3
45.4780861,-73.5680566,1200000,10
45.4781147,-73.5974324,949000,3
45.4781147,-73.5974324,645000,2
45.478198,-73.8364431,295000,4
45.4782437,-73.5787877,1775000,4
45.4782681,-73.8565546,2390000,4
45.4783566,-73.5730914,589000,3
45.4783672,-73.6369129,1746000,5
45.478456,-73.6253446,358000,2
45.4784699,-73.6166561,649000,3
45.4785095,-73.8284748,474900,4
45.4785269,-73.6661249,725000,4
45.478534,-73.8370268,384000,4
45.4785766,-73.6005744,1880000,5
45.4787529,-73.573537,499000,2
45.4787529,-73.573537,499000,5
45.4787529,-73.573537,479000,3
45.4787817,-73.5655321,2100000,3
45.4787953,-73.5587626,915000,3
45.4790558,-73.8274495,1150000,6
45.4790883,-73.5562425,649000,3
45.4791464,-73.5580028,599000,12
45.4791821,-73.5663788,608828,2
45.4793429,-73.8582197,529999,4
45.4794699,-73.6450073,1695000,2
45.4794971,-73.8692707,199000,3
45.4796542,-73.6403319,2295000,5
45.4796578,-73.5986523,1650000,3
45.4796961,-73.569184,899000,3
45.4797259,-73.6706622,499000,2
45.4797864,-73.5514815,699000,3
45.4798838,-73.6679068,514800,3
45.4798838,-73.6679068,450000,3
45.4798962,-73.8856831,419000,2
45.4799065,-73.8437941,699000,5
45.4799708,-73.5523492,459000,2
45.4799983,-73.6370163,1689000,5
45.4800937,-73.6649756,549000,2
45.4802878,-73.6650806,739000,3
45.4803374,-73.8538707,459000,5
45.4803939,-73.8271552,898000,5
45.4804081,-73.6323366,499000,3
45.4804342,-73.624701,699000,3
45.480489,-73.5541572,1295000,4
45.4804921,-73.5545073,699000,3
45.4804994,-73.9307991,2198000,5
45.4805154,-73.5571047,1398000,2
45.4805185,-73.6366951,1990000,5
45.4805691,-73.6321114,299000,3
45.4809711,-73.5734384,569000,1
45.4809928,-73.5611867,359000,2
45.4810213,-73.5839688,309000,1
45.4810791,-73.6354311,1049000,4
45.4811511,-73.5831586,699000,2
45.4811627,-73.5583055,369900,2
45.4811811,-73.5554982,899000,5
